bank_id,bank_name
1,ธนาคารกสิกรไทย
2,ธนาคารกรุงเทพ
3,ธนาคารกรุงไทย
4,ธนาคารทหารไทย
5,ธนาคารไทยพาณิชย์
6,ธนาคารกรุงศรีอยุธยา
7,ธนาคารเกียรตินาคินภัทร
8,ธนาคารซีไอเอ็มบีไทย
9,ธนาคารทิสโก้
10,ธนาคารธนชาต
11,ธนาคารยูโอบี
12,ธนาคารไทยเครดิตเพื่อรายย่อย
13,ธนาคารแลนด์แอนด์ เฮ้าส์
14,ธนาคารไอซีบีซี (ไทย)
15,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย
16,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร
17,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย
18,ธนาคารออมสิน
19,ธนาคารอาคารสงเคราะห์
20,ธนาคารอิสลามแห่งประเทศไทย
