id,name,code,image_large,image_normal,partner,gameid,game_category_id,active,date_time,game_type,lines,game_model,maximum_win,free_spin,min_bet,max_bet,demo_link
1,Flirting Scholar,flirting-scholar,https://play.moradok88.com/uploads/images/gamelist/pg/short/flirting-scholar.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/flirting-scholar.jpg,pg,61,1,1,,1,20,x22500,,Free Spin,1,"1,500",Demo link
2,Prosperity Lion,prosperity-lion,https://play.moradok88.com/uploads/images/gamelist/pg/short/prosperity-lion.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/prosperity-lion.jpg,pg,36,1,1,,1,9,x800,,-,0.9,900,Demo link
3,Hood vs Wolf,hood-wolf,https://play.moradok88.com/uploads/images/gamelist/pg/short/hood-wolf.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/hood-wolf.jpg,pg,18,1,1,,1,30 base bet (fixed),x4000,,Free Spin,1.5,"1,500",Demo link
4,Piggy Gold,piggy-gold,https://play.moradok88.com/uploads/images/gamelist/pg/short/piggy-gold.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/piggy-gold.jpg,pg,39,1,1,,1,1,x5000,,-,1,500,Demo link
5,Medusa II,medusa2,https://play.moradok88.com/uploads/images/gamelist/pg/short/medusa2.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/medusa2.jpg,pg,6,1,1,,1,30,x2000,,Free Spin,1.5,"1,500",Demo link
6,Double Fortune,double-fortune,https://play.moradok88.com/uploads/images/gamelist/pg/short/double-fortune.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/double-fortune.jpg,pg,48,1,1,,1,30,x100000,,Free Spin,1.5,600,Demo link
7,Ganesha Gold,ganesha-gold,https://play.moradok88.com/uploads/images/gamelist/pg/short/ganesha-gold.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/ganesha-gold.jpg,pg,42,"1,4,6,10",1,,1,30 base bet (243ways),x100000,,Free Spin,1.5,300,Demo link
8,Legend of Hou Yi,legend-of-hou-yi,https://play.moradok88.com/uploads/images/gamelist/pg/short/legend-of-hou-yi.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/legend-of-hou-yi.jpg,pg,34,1,1,,1,30,x5000,,Free Spin,1.5,"1,500",Demo link
9,Honey Trap of Diao Chan,diaochan,https://play.moradok88.com/uploads/images/gamelist/pg/short/diaochan.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/diaochan.jpg,pg,1,1,1,,1,30,x100000,,Free Spin,1.5,300,Demo link
10,Hip Hop Panda,hip-hop-panda,https://play.moradok88.com/uploads/images/gamelist/pg/short/hip-hop-panda.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/hip-hop-panda.jpg,pg,33,"1,6",1,,1,30 base bet (fixed),x600,,Free Spin,1.5,"1,500",Demo link
11,Gem Saviour Conquest,gem-saviour-conquest,https://play.moradok88.com/uploads/images/gamelist/pg/short/gem-saviour-conquest.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/gem-saviour-conquest.jpg,pg,62,1,1,,1,"Base bet 20 (46,656ways?",x22500,,Free Spin,1,200,Demo link
12,Jungle Delight,jungle-delight,https://play.moradok88.com/uploads/images/gamelist/pg/short/jungle-deligh.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/jungle-delight.jpg,pg,40,"1,6",1,,1,20,x15000,,Free Spin,1,"1,500",Demo link
13,Tree of Fortune,fortune-tree,https://play.moradok88.com/uploads/images/gamelist/pg/short/fortune-tree.png,https://play.moradok88.com/uploads/images/gamelist/pg/long/fortune-tree.jpg,pg,26,1,1,,1,30,x5000,,Free Spin,1.5,"1,500",Demo link
