id,name,code,image-large,image-normal,partner,gameid,game_category_id
134,BACCARAT,BACCARAT,https://dev.pgslot.cc/cards/portrait/ambpoker/large/baccarat.png,https://dev.pgslot.cc/cards/portrait/ambpoker/normal/baccarat.png,AMBPOKER,BACCARAT,"3,6"
128,Bingo,BINGO,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/bingo.png,https://pgslot.cc/cardsnewlobby/landscape/ambpoker/normal/bingo.png,AMBPOKER,BINGO,6
130,BINGO2,BINGO2,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/BINGO2.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/BINGO2.png,AMBPOKER,BINGO2,"3,6"
121,BATTLEROYAL,BR,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/battleroyal.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/battleroyal.png,AMBPOKER,BR,6
119,Chinese Poker 13 Cards,CP13,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/chinesepoker13.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/chinesepoker13.png,AMBPOKER,CP13,6
127,Chinese Poker 6 Cards,CP6,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/cp6.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/cp6.png,AMBPOKER,CP6,6
133,DragonTiger,DRAGONTIGER,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/DRAGONTIGER.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/DRAGONTIGER.png,AMBPOKER,DRAGONTIGER,6
132,Let's fishing field,FISHCATCHING,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/FISHCATCHING.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/FISHCATCHING.png,AMBPOKER,FISHCATCHING,"6,2"
129,Fruit Roulette Slots,FRUITSLOT,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/fruit_new.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/fruit_new.png,AMBPOKER,FRUITSLOT,"6,2"
124,HILO,HILO,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/hilo.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/hilo.png,AMBPOKER,HILO,6
131,Horse racing,HORSERACING,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/HORSERACING.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/HORSERACING.png,AMBPOKER,HORSERACING,"6,2"
126,PAI KANG,KANG,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/kang.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/kang.png,AMBPOKER,KANG,"3,6"
120,NAMTAOPUPA,NTPP,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/large/ntpp.png,https://pgslot.cc/cardsnewlobby/portrait/ambpoker/normal/ntpp.png,AMBPOKER,NTPP,6
